KEGG	line_number	Cluster	dendro_order	pathway
K03404	1137	3	410	K03404: magnesium chelatase subunit D [EC:6.6.1.1]
K03405	1138	3	411	K03405: magnesium chelatase subunit I [EC:6.6.1.1]
K02431	838	3	412	K02431: L-fucose mutarotase
K06221	1570	3	413	K06221: 2,5-diketo-D-gluconate reductase A
K02037	702	3	414	K02037: phosphate transport system permease protein
K21672	2429	3	415	K21672: NO_NAME
K00848	264	3	416	K00848: rhamnulokinase [EC:2.7.1.5]
K00639	194	3	417	K00639: glycine C-acetyltransferase [EC:2.3.1.29]
K03079	1049	3	418	K03079: L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22]
K05879	1513	3	419	K05879: dihydroxyacetone kinase, C-terminal domain [EC:2.7.1.-]
K00008	3	3	420	K00008: L-iditol 2-dehydrogenase [EC:1.1.1.14]
K00874	281	3	421	K00874: 2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]
K02026	691	3	422	K02026: multiple sugar transport system permease protein
K02027	692	3	423	K02027: multiple sugar transport system substrate-binding protein
K10112	2004	3	424	K10112: multiple sugar transport system ATP-binding protein
K02025	690	3	425	K02025: multiple sugar transport system permease protein
K07192	1721	3	426	K07192: flotillin
K11708	2081	3	427	K11708: manganese/zinc/iron transport system permease protein
K11707	2080	3	428	K11707: manganese/zinc/iron transport system substrate-binding protein
K11709	2082	3	429	K11709: manganese/zinc/iron transport system permease protein
K11710	2083	3	430	K11710: manganese/zinc/iron transport system ATP- binding protein
K09807	1958	3	431	K09807: hypothetical protein
K01489	447	3	432	K01489: cytidine deaminase [EC:3.5.4.5]
K03696	1290	3	433	K03696: ATP-dependent Clp protease ATP-binding subunit ClpC
K04041	1379	3	434	K04041: fructose-1,6-bisphosphatase III [EC:3.1.3.11]
K01818	581	3	435	K01818: L-fucose/D-arabinose isomerase [EC:5.3.1.25 5.3.1.3]
K07118	1698	3	436	K07118: NO_NAME
K04758	1432	3	437	K04758: ferrous iron transport protein A
K02030	695	3	438	K02030: polar amino acid transport system substrate-binding protein
K04759	1433	3	439	K04759: ferrous iron transport protein B
K02009	678	3	440	K02009: cobalt/nickel transport protein
K00820	256	3	441	K00820: glucosamine--fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]
K00067	29	3	442	K00067: dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K01790	567	3	443	K01790: dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]
K01784	563	3	444	K01784: UDP-glucose 4-epimerase [EC:5.1.3.2]
K06178	1547	3	445	K06178: ribosomal large subunit pseudouridine synthase B
K03631	1254	3	446	K03631: DNA repair protein RecN (Recombination protein N)
K21929	2432	3	447	K21929: NO_NAME
K00528	159	3	448	K00528: ferredoxin--NADP+ reductase
K06925	1612	3	449	K06925: NO_NAME
K02029	694	3	450	K02029: polar amino acid transport system permease protein
K09816	1964	3	451	K09816: zinc transport system permease protein
K00970	322	3	452	K00970: poly(A) polymerase [EC:2.7.7.19]
K05516	1460	3	453	K05516: curved DNA-binding protein
K03575	1216	3	454	K03575: A/G-specific adenine glycosylase [EC:3.2.2.-]
K09691	1919	3	455	K09691: lipopolysaccharide transport system ATP-binding protein
K02049	713	3	456	K02049: sulfonate/nitrate/taurine transport system ATP-binding protein
K03797	1344	3	457	K03797: carboxyl-terminal processing protease
K01338	418	3	458	K01338: ATP-dependent Lon protease [EC:3.4.21.53]
K03525	1183	3	459	K03525: type III pantothenate kinase [EC:2.7.1.33]
K00973	324	3	460	K00973: glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]
K06158	1543	3	461	K06158: ATP-binding cassette, sub-family F, member 3
K01534	462	3	462	K01534: Zn2+-exporting ATPase
K01996	665	3	463	K01996: branched-chain amino acid transport system ATP-binding protein
K01995	664	3	464	K01995: branched-chain amino acid transport system ATP-binding protein
K02233	778	3	465	K02233: adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]
K01147	370	3	466	K01147: exoribonuclease II
K05936	1519	3	467	K05936: precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]
K14441	2183	3	468	K14441: NO_NAME
K00595	177	3	469	K00595: precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]
K07263	1737	3	470	K07263: zinc protease
K09690	1918	3	471	K09690: lipopolysaccharide transport system permease protein
K03569	1211	3	472	K03569: rod shape-determining protein MreB and related proteins
K03092	1054	3	473	K03092: RNA polymerase sigma-54 factor
K01448	434	3	474	K01448: N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]
K02224	772	3	475	K02224: cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]
K02231	776	3	476	K02231: adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62]
K07040	1661	3	477	K07040: NO_NAME
K04079	1393	3	478	K04079: molecular chaperone HtpG
K03570	1212	3	479	K03570: rod shape-determining protein MreC
K06872	1586	3	480	K06872: NO_NAME
K03787	1339	3	481	K03787: 5'-nucleotidase [EC:3.1.3.5]
K09158	1909	3	482	K09158: hypothetical protein
K17828	2288	3	483	K17828: dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
K00703	215	3	484	K00703: starch synthase [EC:2.4.1.21]
K07095	1687	3	485	K07095: NO_NAME
K04767	1439	3	486	K04767: acetoin utilization protein AcuB
K01935	638	3	487	K01935: dethiobiotin synthetase [EC:6.3.3.3]
K21636	2428	3	488	K21636: NO_NAME
K01251	399	3	489	K01251: adenosylhomocysteinase [EC:3.3.1.1]
K01733	537	3	490	K01733: threonine synthase [EC:4.2.3.1]
K04488	1408	3	491	K04488: nitrogen fixation protein NifU and related proteins
K03427	1148	3	492	K03427: type I restriction enzyme M protein
K01610	484	3	493	K01610: phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]
K15580	2201	3	494	K15580: oligopeptide transport system substrate-binding protein
K10823	2039	3	495	K10823: oligopeptide transport system ATP-binding protein
K15582	2203	3	496	K15582: oligopeptide transport system permease protein
K15581	2202	3	497	K15581: oligopeptide transport system permease protein
K07010	1646	3	498	K07010: putative glutamine amidotransferase
K05808	1496	3	499	K05808: putative sigma-54 modulation protein
K09013	1893	3	500	K09013: Fe-S cluster assembly ATP-binding protein
K06147	1541	3	501	K06147: ATP-binding cassette, subfamily B, bacterial
K02031	696	3	502	K02031: peptide/nickel transport system ATP-binding protein
K02028	693	3	503	K02028: polar amino acid transport system ATP-binding protein
K00845	262	3	504	K00845: glucokinase [EC:2.7.1.2]
K09710	1926	3	505	K09710: hypothetical protein
K00705	216	3	506	K00705: 4-alpha-glucanotransferase [EC:2.4.1.25]
K02034	699	3	507	K02034: peptide/nickel transport system permease protein
K02035	700	3	508	K02035: peptide/nickel transport system substrate-binding protein
K01950	644	3	509	K01950: NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
K21071	2405	3	510	K21071: NO_NAME
K09817	1965	3	511	K09817: zinc transport system ATP-binding protein [EC:3.6.3.-]
K19158	2344	3	512	K19158: NO_NAME
K15771	2215	3	513	K15771: arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15987	2223	3	514	K15987: K(+)-stimulated pyrophosphate-energized sodium pump [EC:3.6.1.1]
K04047	1383	3	515	K04047: starvation-inducible DNA-binding protein
K00567	169	3	516	K00567: methylated-DNA-[protein]-cysteine S-methyltransferase
K03628	1251	3	517	K03628: transcription termination factor Rho
K03531	1188	3	518	K03531: cell division protein FtsZ
K01652	504	3	519	K01652: acetolactate synthase I/II/III large subunit [EC:2.2.1.6]
K03980	1374	3	520	K03980: putative peptidoglycan lipid II flippase
K00826	258	3	521	K00826: branched-chain amino acid aminotransferase [EC:2.6.1.42]
K02221	771	3	522	K02221: YggT family protein
K07082	1680	3	523	K07082: NO_NAME
K00655	202	3	524	K00655: 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
K06207	1565	3	525	K06207: GTP-binding protein
K00688	212	3	526	K00688: starch phosphorylase [EC:2.4.1.1]
K04069	1387	3	527	K04069: pyruvate formate lyase activating enzyme
K06975	1632	3	528	K06975: NO_NAME
K16926	2262	3	529	K16926: NO_NAME
K07133	1704	3	530	K07133: NO_NAME
K10118	2006	3	531	K10118: raffinose/stachyose/melibiose transport system permease protein
K00926	294	3	532	K00926: carbamate kinase [EC:2.7.2.2]
K02795	940	3	533	K02795: PTS system, mannose-specific IIC component
K02064	725	3	534	K02064: thiamine transport system substrate-binding protein
K02063	724	3	535	K02063: thiamine transport system permease protein
K07025	1653	3	536	K07025: putative hydrolase of the HAD superfamily
K07124	1701	3	537	K07124: NO_NAME
K11717	2085	3	538	K11717: cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K12132	2103	3	539	K12132: serine/threonine-protein kinase WNK1
K02529	878	3	540	K02529: LacI family transcriptional regulator
K16785	2243	3	541	K16785: energy-coupling factor transport system permease protein
K16787	2245	3	542	K16787: energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K16786	2244	3	543	K16786: energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]
K04517	1410	3	544	K04517: prephenate dehydrogenase [EC:1.3.1.12]
K01681	517	3	545	K01681: aconitate hydratase [EC:4.2.1.3]
K00033	17	3	546	K00033: 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
K00721	218	3	547	K00721: dolichol-phosphate mannosyltransferase [EC:2.4.1.83]
K14155	2175	3	548	K14155: cystathione beta-lyase [EC:4.4.1.8]
K01524	459	3	549	K01524: exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]
K03655	1271	3	550	K03655: ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K00615	187	3	551	K00615: transketolase [EC:2.2.1.1]
K01785	564	3	552	K01785: aldose 1-epimerase [EC:5.1.3.3]
K03335	1123	3	553	K03335: inosose dehydratase [EC:4.2.1.44]
K01443	433	3	554	K01443: N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]
K06201	1561	3	555	K06201: copper homeostasis protein
K07030	1657	3	556	K07030: NO_NAME
K02796	941	3	557	K02796: PTS system, mannose-specific IID component
K00876	282	3	558	K00876: uridine kinase [EC:2.7.1.48]
K01176	378	3	559	K01176: alpha-amylase [EC:3.2.1.1]
K02018	687	3	560	K02018: molybdate transport system permease protein
K02020	689	3	561	K02020: molybdate transport system substrate-binding protein
K02017	686	3	562	K02017: molybdate transport system ATP-binding protein [EC:3.6.3.29]
K07442	1766	3	563	K07442: tRNA (adenine-N1-)-methyltransferase
K07742	1828	3	564	K07742: hypothetical protein
K13787	2154	3	565	K13787: geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]
K03684	1283	3	566	K03684: ribonuclease D
K02851	968	3	567	K02851: undecaprenyl-phosphate alpha-N-acetylglucosaminyltransferase
K21600	2427	3	568	K21600: NO_NAME
K10232	2012	3	569	K10232: alpha-glucoside transport system substrate-binding protein
K07407	1765	3	570	K07407: alpha-galactosidase [EC:3.2.1.22]
K11068	2050	3	571	K11068: hemolysin III
K00012	5	3	572	K00012: UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K19710	2371	3	573	K19710: ATP adenylyltransferase [EC:2.7.7.53]
K00847	263	3	574	K00847: fructokinase [EC:2.7.1.4]
K01214	390	3	575	K01214: isoamylase
K03783	1335	3	576	K03783: purine-nucleoside phosphorylase [EC:2.4.2.1]
K02039	704	3	577	K02039: phosphate transport system protein
K05341	1448	3	578	K05341: amylosucrase [EC:2.4.1.4]
K06902	1600	3	579	K06902: MFS transporter, UMF1 family
K01187	381	3	580	K01187: alpha-glucosidase [EC:3.2.1.20]
K03436	1151	3	581	K03436: DeoR family transcriptional regulator, fructose operon
K00865	275	3	582	K00865: glycerate 2-kinase [EC:2.7.1.165]
K01193	383	3	583	K01193: beta-fructofuranosidase [EC:3.2.1.26]
K20074	2380	3	584	K20074: NO_NAME
K02050	714	3	585	K02050: sulfonate/nitrate/taurine transport system permease protein
K08978	1880	3	586	K08978: putative membrane protein
K08309	1859	3	587	K08309: soluble lytic murein transglycosylase
K00074	31	3	588	K00074: 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00626	192	3	589	K00626: acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
K05833	1504	3	590	K05833: putative ABC transport system ATP-binding protein
K01989	659	3	591	K01989: putative ABC transport system substrate-binding protein
K00261	87	3	592	K00261: glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]
K02058	722	3	593	K02058: simple sugar transport system substrate-binding protein
K20534	2399	3	594	K20534: NO_NAME
K01572	467	3	595	K01572: oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]
K11751	2092	3	596	K11751: 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
K01008	342	3	597	K01008: selenide, water dikinase [EC:2.7.9.3]
K07112	1695	3	598	K07112: NO_NAME
K07005	1644	3	599	K07005: NO_NAME
K02190	763	3	600	K02190: sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K18707	2307	3	601	K18707: NO_NAME
K05515	1459	3	602	K05515: penicillin-binding protein 2
K00266	89	3	603	K00266: glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]
K05934	1518	3	604	K05934: precorrin-3B C17-methyltransferase [EC:2.1.1.131]
K07402	1763	3	605	K07402: xanthine dehydrogenase accessory factor
K01628	495	3	606	K01628: L-fuculose-phosphate aldolase [EC:4.1.2.17]
K06881	1589	3	607	K06881: bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]
K02823	957	3	608	K02823: dihydroorotate dehydrogenase electron transfer subunit
K03340	1127	3	609	K03340: diaminopimelate dehydrogenase [EC:1.4.1.16]
K07027	1654	3	610	K07027: NO_NAME
K07464	1778	3	611	K07464: putative RecB family exonuclease
K01711	531	3	612	K01711: GDPmannose 4,6-dehydratase [EC:4.2.1.47]
K01805	572	3	613	K01805: xylose isomerase [EC:5.3.1.5]
K01812	577	3	614	K01812: glucuronate isomerase [EC:5.3.1.12]
K15633	2209	3	615	K15633: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
K12960	2126	3	616	K12960: 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
K07301	1744	3	617	K07301: NO_NAME
K08963	1875	3	618	K08963: methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
K05919	1517	3	619	K05919: superoxide reductase
K07714	1817	3	620	K07714: two-component system, NtrC family, response regulator AtoC
K00077	33	3	621	K00077: 2-dehydropantoate 2-reductase [EC:1.1.1.169]
K09121	1900	3	622	K09121: hypothetical protein
K06898	1598	3	623	K06898: NO_NAME
K06864	1583	3	624	K06864: NO_NAME
K10907	2042	3	625	K10907: aminotransferase
K08602	1868	3	626	K08602: oligoendopeptidase F
K10824	2040	3	627	K10824: nickel transport system ATP-binding protein [EC:3.6.3.24]
K15584	2205	3	628	K15584: nickel transport system substrate-binding protein
K15585	2206	3	629	K15585: nickel transport system permease protein
K20444	2384	3	630	K20444: NO_NAME
K07443	1767	3	631	K07443: methylated-DNA-protein-cysteine methyltransferase related protein
K05878	1512	3	632	K05878: dihydroxyacetone kinase, N-terminal domain [EC:2.7.1.-]
K07335	1753	3	633	K07335: basic membrane protein A and related proteins
K10440	2017	3	634	K10440: ribose transport system permease protein
K10439	2016	3	635	K10439: ribose transport system substrate-binding protein
K10441	2018	3	636	K10441: ribose transport system ATP-binding protein [EC:3.6.3.17]
K00854	269	3	637	K00854: xylulokinase [EC:2.7.1.17]
K18672	2303	3	638	K18672: NO_NAME
K03739	1313	3	639	K03739: membrane protein involved in D-alanine export
K08999	1886	3	640	K08999: hypothetical protein
K01791	568	3	641	K01791: UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) [EC:5.1.3.14]
K00174	65	3	642	K00174: 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	66	3	643	K00175: 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K07507	1792	3	644	K07507: putative Mg2+ transporter-C (MgtC) family protein
K06960	1625	3	645	K06960: NO_NAME
K01006	340	3	646	K01006: pyruvate, orthophosphate dikinase [EC:2.7.9.1]
K00937	300	3	647	K00937: polyphosphate kinase [EC:2.7.4.1]
K01975	658	3	648	K01975: 2'-5' RNA ligase
K02008	677	3	649	K02008: cobalt/nickel transport system permease protein
K02006	675	3	650	K02006: cobalt/nickel transport system ATP-binding protein
K17759	2286	3	651	K17759: NO_NAME
K17758	2285	3	652	K17758: NO_NAME
K03737	1312	3	653	K03737: pyruvate-ferredoxin/flavodoxin oxidoreductase [EC:1.2.7.1 1.2.7.-]
K05349	1451	3	654	K05349: beta-glucosidase [EC:3.2.1.21]
K14274	2179	3	655	K14274: D-xylonolactonase
K01482	443	3	656	K01482: dimethylargininase
K10117	2005	3	657	K10117: raffinose/stachyose/melibiose transport system substrate-binding protein
K10119	2007	3	658	K10119: raffinose/stachyose/melibiose transport system permease protein
K01239	395	3	659	K01239: purine nucleosidase [EC:3.2.2.1]
K03976	1370	3	660	K03976: putative transcription regulator
K03547	1193	3	661	K03547: exonuclease SbcD
K03546	1192	3	662	K03546: exonuclease SbcC
K13993	2170	3	663	K13993: HSP20 family protein
K00852	267	3	664	K00852: ribokinase [EC:2.7.1.15]
K07088	1683	3	665	K07088: NO_NAME
K03856	1361	3	666	K03856: 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K15583	2204	3	667	K15583: oligopeptide transport system ATP-binding protein
K10536	2019	3	668	K10536: agmatine deiminase [EC:3.5.3.12]
K06973	1631	3	669	K06973: NO_NAME
K21903	2431	3	670	K21903: NO_NAME
K08093	1842	3	671	K08093: 3-hexulose-6-phosphate synthase [EC:4.1.2.43]
K06962	1626	3	672	K06962: NO_NAME
K01486	445	3	673	K01486: adenine deaminase [EC:3.5.4.2]
K20265	2381	3	674	K20265: glutamate:GABA antiporter
K13252	2132	3	675	K13252: NO_NAME
K07739	1827	3	676	K07739: elongator complex protein 3
K02499	866	3	677	K02499: tetrapyrrole methylase family protein / MazG family protein
K19310	2354	3	678	K19310: bacitracin transport system permease protein
K19309	2353	3	679	K19309: bacitracin transport system ATP-binding protein
K00657	204	3	680	K00657: diamine N-acetyltransferase [EC:2.3.1.57]
K00432	153	3	681	K00432: glutathione peroxidase [EC:1.11.1.9]
K09825	1967	3	682	K09825: Fur family transcriptional regulator, peroxide stress response
K01537	463	3	683	K01537: Ca2+-transporting ATPase
K04068	1386	3	684	K04068: anaerobic ribonucleoside-triphosphate reductase activating protein
K19302	2352	3	685	K19302: undecaprenyl-diphosphatase [EC:3.6.1.27]
K07473	1781	3	686	K07473: DNA-damage-inducible protein J
K07272	1738	3	687	K07272: polysaccharide biosynthesis protein
K16923	2259	3	688	K16923: NO_NAME
K21469	2416	3	689	K21469: NO_NAME
K10542	2022	3	690	K10542: methyl-galactoside transport system ATP-binding protein [EC:3.6.3.17]
K10540	2020	3	691	K10540: methyl-galactoside transport system substrate-binding protein
K10541	2021	3	692	K10541: methyl-galactoside transport system permease protein
K01639	498	3	693	K01639: N-acetylneuraminate lyase [EC:4.1.3.3]
K01846	591	3	694	K01846: methylaspartate mutase sigma subunit [EC:5.4.99.1]
K19268	2349	3	695	K19268: methylaspartate mutase epsilon subunit [EC:5.4.99.1]
K13653	2150	3	696	K13653: NO_NAME
K07273	1739	3	697	K07273: lysozyme
K01571	466	3	698	K01571: oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3]
K01787	565	3	699	K01787: N-acylglucosamine 2-epimerase [EC:5.1.3.8]
K07718	1818	3	700	K07718: two-component system, sensor histidine kinase YesM [EC:2.7.13.3]
K01464	436	3	701	K01464: dihydropyrimidinase [EC:3.5.2.2]
K12527	2120	3	702	K12527: putative selenate reductase [EC:1.97.1.9]
K00756	221	3	703	K00756: pyrimidine-nucleoside phosphorylase [EC:2.4.2.2]
K02011	680	3	704	K02011: iron(III) transport system permease protein
K02010	679	3	705	K02010: iron(III) transport system ATP-binding protein [EC:3.6.3.30]
K02012	681	3	706	K02012: iron(III) transport system substrate-binding protein
K06196	1559	3	707	K06196: cytochrome c-type biogenesis protein
K07240	1731	3	708	K07240: chromate transporter
K19802	2375	3	709	K19802: NO_NAME
K17320	2281	3	710	K17320: putative aldouronate transport system permease protein
K05873	1511	3	711	K05873: adenylate cyclase, class 2 [EC:4.6.1.1]
K03113	1060	3	712	K03113: translation initiation factor 1
K04516	1409	3	713	K04516: chorismate mutase [EC:5.4.99.5]
K02116	748	3	714	K02116: ATP synthase protein I
K03769	1326	3	715	K03769: peptidyl-prolyl cis-trans isomerase C
K01620	488	3	716	K01620: threonine aldolase [EC:4.1.2.48]
K09775	1942	3	717	K09775: hypothetical protein
K01247	398	3	718	K01247: DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K00856	270	3	719	K00856: adenosine kinase [EC:2.7.1.20]
K01139	367	3	720	K01139: guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase [EC:3.1.7.2]
K08217	1846	3	721	K08217: MFS transporter, DHA3 family, macrolide efflux protein
K15634	2210	3	722	K15634: probable phosphoglycerate mutase [EC:5.4.2.12]
K03775	1331	3	723	K03775: FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
K09790	1949	3	724	K09790: hypothetical protein
K01438	431	3	725	K01438: acetylornithine deacetylase [EC:3.5.1.16]
K19350	2360	3	726	K19350: lincosamide and streptogramin A transport system ATP-binding/permease protein
K07461	1776	3	727	K07461: putative endonuclease
K00949	310	3	728	K00949: thiamine pyrophosphokinase [EC:2.7.6.2]
K03816	1352	3	729	K03816: xanthine phosphoribosyltransferase [EC:2.4.2.22]
K16924	2260	3	730	K16924: NO_NAME
K01880	607	3	731	K01880: glycyl-tRNA synthetase [EC:6.1.1.14]
K00610	185	3	732	K00610: aspartate carbamoyltransferase regulatory subunit
K00833	261	3	733	K00833: adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62]
K06969	1628	3	734	K06969: putative SAM-dependent methyltransferase
K01926	633	3	735	K01926: AT-rich DNA-binding protein
K05799	1491	3	736	K05799: GntR family transcriptional regulator, transcriptional repressor for
K00018	10	3	737	K00018: glycerate dehydrogenase [EC:1.1.1.29]
K19337	2355	3	738	K19337: NO_NAME
K09936	1980	3	739	K09936: bacterial/archaeal transporter family-2 protein
K09160	1911	3	740	K09160: hypothetical protein
K17214	2275	3	741	K17214: inositol transport system permease protein
K02054	718	3	742	K02054: putative spermidine/putrescine transport system permease protein
K02053	717	3	743	K02053: putative spermidine/putrescine transport system permease protein
K06904	1602	3	744	K06904: NO_NAME
K19119	2330	3	745	K19119: NO_NAME
K19117	2328	3	746	K19117: NO_NAME
K05989	1524	3	747	K05989: alpha-L-rhamnosidase
K19091	2325	3	748	K19091: NO_NAME
K13963	2169	3	749	K13963: serpin B
K01201	385	3	750	K01201: glucosylceramidase [EC:3.2.1.45]
K19157	2343	3	751	K19157: NO_NAME
K07137	1705	3	752	K07137: NO_NAME
K03150	1068	3	753	K03150: 2-iminoacetate synthase [EC:4.1.99.19]
K02371	810	3	754	K02371: enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]
K03556	1201	3	755	K03556: LuxR family transcriptional regulator, maltose regulon positive
K04477	1403	3	756	K04477: PHP family protein
K07079	1678	3	757	K07079: NO_NAME
K02774	934	3	758	K02774: PTS system, galactitol-specific IIB component [EC:2.7.1.200]
K02744	924	3	759	K02744: PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]
K01715	534	3	760	K01715: enoyl-CoA hydratase [EC:4.2.1.17]
K10005	1995	3	761	K10005: glutamate transport system substrate-binding protein
K02282	784	3	762	K02282: pilus assembly protein CpaE
K03090	1053	3	763	K03090: RNA polymerase sigma-B factor
K08722	1872	3	764	K08722: 5'-deoxynucleotidase [EC:3.1.3.89]
K03549	1195	3	765	K03549: KUP system potassium uptake protein
K03758	1321	3	766	K03758: arginine:ornithine antiporter
K02794	939	3	767	K02794: PTS system, mannose-specific IIB component [EC:2.7.1.191]
K17076	2269	3	768	K17076: putative lysine transport system ATP-binding protein [EC:3.6.3.-]
K08659	1869	3	769	K08659: dipeptidase A
K04794	1443	3	770	K04794: peptidyl-tRNA hydrolase, PTH2 family
K08168	1845	3	771	K08168: MFS transporter, DHA2 family, metal-tetracycline-proton antiporter
K10041	2003	3	772	K10041: putative glutamine transport system ATP-binding protein [EC:3.6.3.-]
K11601	2076	3	773	K11601: manganese transport system substrate-binding protein
K07015	1648	3	774	K07015: NO_NAME
K12452	2113	3	775	K12452: CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]
K00385	138	3	776	K00385: anaerobic sulfite reductase subunit C
K19955	2378	3	777	K19955: NO_NAME
K21562	2422	3	778	K21562: NO_NAME
K19427	2363	3	779	K19427: NO_NAME
K22373	2451	3	780	K22373: NO_NAME
K16951	2263	3	781	K16951: anaerobic sulfite reductase subunit B
K10039	2001	3	782	K10039: putative glutamine transport system substrate-binding protein
K11602	2077	3	783	K11602: manganese transport system permease protein
K07704	1816	3	784	K07704: two-component system, LytT family, sensor histidine kinase LytS [EC:2.7.13.3]
K02798	942	3	785	K02798: PTS system, mannitol-specific IIA component [EC:2.7.1.197]
K20487	2388	3	786	K20487: two-component system, OmpR family, lantibiotic biosynthesis sensor histidine kinase NisK/SpaK [EC:2.7.13.3]
K20488	2389	3	787	K20488: two-component system, OmpR family, lantibiotic biosynthesis response regulator NisR/SpaR
K01118	363	3	788	K01118: FMN-dependent NADH-azoreductase
K09697	1922	3	789	K09697: sodium transport system ATP-binding protein [EC:3.6.3.7]
K19165	2346	3	790	K19165: NO_NAME
K00978	327	3	791	K00978: glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]
K01709	529	3	792	K01709: CDP-glucose 4,6-dehydratase [EC:4.2.1.45]
K06921	1610	3	793	K06921: NO_NAME
K06001	1526	3	794	K06001: tryptophan synthase beta chain [EC:4.2.1.20]
K07164	1713	3	795	K07164: NO_NAME
K01512	455	3	796	K01512: acylphosphatase [EC:3.6.1.7]
K16922	2258	3	797	K16922: NO_NAME
K09004	1889	3	798	K09004: hypothetical protein
K06990	1638	3	799	K06990: NO_NAME
K03281	1099	3	800	K03281: chloride channel protein, CIC family
K00619	189	3	801	K00619: amino-acid N-acetyltransferase [EC:2.3.1.1]
K01854	593	3	802	K01854: UDP-galactopyranose mutase [EC:5.4.99.9]
K07105	1692	3	803	K07105: NO_NAME
K10006	1996	3	804	K10006: glutamate transport system permease protein
K10008	1998	3	805	K10008: glutamate transport system ATP-binding protein [EC:3.6.3.-]
K19777	2374	3	806	K19777: NO_NAME
K07154	1711	3	807	K07154: NO_NAME
K15034	2195	3	808	K15034: NO_NAME
K18678	2304	3	809	K18678: NO_NAME
K00584	176	3	810	K00584: tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]
K21572	2425	2	811	K21572: NO_NAME
K06223	1571	2	812	K06223: DNA adenine methylase [EC:2.1.1.72]
K03293	1104	2	813	K03293: amino acid transporter, AAT family
K01958	650	2	814	K01958: pyruvate carboxylase [EC:6.4.1.1]
K00140	55	2	815	K00140: malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K15876	2219	2	816	K15876: cytochrome c nitrite reductase small subunit
